1	муж	муж	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1651.0#1651.312
2	говорил	говорить	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@tim1991f-words#@tim1991f#1651.312#1651.624
3	что	что	PRON	_	Case=Acc	_	_	_	@tim1991f-words#@tim1991f#1651.624#1651.936
4	/	/	PUNCT	_	_	_	_	_	@tim1991f-words#@tim1991f#1651.936#1652.248
5	детей	ребенок	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@tim1991f-words#@tim1991f#1652.248#1652.56
6	рожай	рожай	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1652.56#1652.872
7	и	и	CCONJ	_	_	_	_	_	@tim1991f-words#@tim1991f#1652.872#1653.184
8	творчески	творчески	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1653.184#1653.496
9	раскройся	раскроться	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Mid	_	_	_	@tim1991f-words#@tim1991f#1653.496#1653.808
10	но	но	CCONJ	_	_	_	_	_	@tim1991f-words#@tim1991f#1653.808#1654.12
11	тут	тут	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1654.12#1654.432
12	же	же	PART	_	_	_	_	_	@tim1991f-words#@tim1991f#1654.432#1654.744
13	ещё	еще	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1654.744#1655.056
14	и	и	PART	_	_	_	_	_	@tim1991f-words#@tim1991f#1655.056#1655.368
15	ревновал	ревновать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@tim1991f-words#@tim1991f#1655.368#1655.68
16	и	и	CCONJ	_	_	_	_	_	@tim1991f-words#@tim1991f#1655.68#1655.992
17	всё	весь	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1655.992#1656.304
18	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1656.304#1656.616
19	между	между	ADP	_	_	_	_	_	@tim1991f-words#@tim1991f#1656.616#1656.928
20	собой	себя	PRON	_	Case=Ins	_	_	_	@tim1991f-words#@tim1991f#1656.928#1657.24
21	не	не	PART	_	_	_	_	_	@tim1991f-words#@tim1991f#1657.24#1657.552
22	сочеталось	сочетаться	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@tim1991f-words#@tim1991f#1657.552#1657.878
23	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1658.07#1658.369
24	так	так	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1658.369#1658.668
25	?	?	PUNCT	_	_	_	_	_	@tim1991f-words#@tim1991f#1658.668#1658.969
26	ммм	мм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1684.0#1684.375
27	да	да	CCONJ	_	_	_	_	_	@tim1991f-words#@tim1991f#1739.3#1740.0
28	следующая	следующий	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1742.257#1742.561
29	твоя	твой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1742.561#1742.865
30	цитата	цитата	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1742.865#1743.169
31	/	/	PUNCT	_	_	_	_	_	@tim1991f-words#@tim1991f#1743.169#1743.473
32	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@tim1991f-words#@tim1991f#1743.473#1743.777
33	да...давала	да...давать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@tim1991f-words#@tim1991f#1743.777#1744.081
34	интервью	интервью	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1744.081#1744.385
35	насчёт	наскать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@tim1991f-words#@tim1991f#1744.385#1744.689
36	старта	старт	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1744.689#1744.993
37	своего	свой	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1744.993#1745.297
38	проекта	проект	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1745.297#1745.601
39	/	/	PUNCT	_	_	_	_	_	@tim1991f-words#@tim1991f#1745.601#1745.905
40	тогда	тогда	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1745.905#1746.209
41	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@tim1991f-words#@tim1991f#1746.209#1746.513
42	ещё	еще	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1746.513#1746.817
43	по-моему	по-моему	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1746.817#1747.121
44	были	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@tim1991f-words#@tim1991f#1747.121#1747.425
45	вместе	вместе	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1747.425#1747.729
46	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1747.729#1748.033
47	прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@tim1991f-words#@tim1991f#1748.033#1748.337
48	вот	вот	PART	_	_	_	_	_	@tim1991f-words#@tim1991f#1748.337#1748.641
49	первые-первые	первые-первый	ADV	_	Degree=Pos	_	_	_	@tim1991f-words#@tim1991f#1748.641#1748.945
50	твои	твой	DET	_	Case=Nom|Number=Plur	_	_	_	@tim1991f-words#@tim1991f#1748.945#1749.249
51	такие	такой	DET	_	Case=Nom|Number=Plur	_	_	_	@tim1991f-words#@tim1991f#1749.249#1749.553
52	интервью	интервью	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur	_	_	_	@tim1991f-words#@tim1991f#1749.553#1749.857
53	/	/	PUNCT	_	_	_	_	_	@tim1991f-words#@tim1991f#1749.857#1750.161
54	муж	муж	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@tim1991f-words#@tim1991f#1750.161#1750.465
